common_name,site,index,lwr,upr,rel_index,naive_rate,doy_min,doy_max,coverage
Black-headed Grosbeak,WC_02,4.4606009025291785e-4,1.693171046401537e-4,0.0010858703738395549,0.1369440978365009,5.035872196278155e-4,112,215,1
Chestnut-backed Chickadee,EW_01,0.010147445083230323,0.006271067704661802,0.01660259111857689,62.50127843020106,0.02731394030978466,111,203,1
Chestnut-backed Chickadee,AC_10,0.006800732720355323,0.004415424770336007,0.011544648934975671,41.88783341993663,0.03024105368828388,105,189,1
Chestnut-backed Chickadee,EW_08,0.0028789479426666285,0.0017220553496751809,0.004941518875468243,17.73233808853295,0.0075988221825617035,111,215,1
Chestnut-backed Chickadee,AC_02,0.001057718862624252,5.675607401889507e-4,0.002049515648700099,6.514820291366286,0.004260161121478312,105,215,1
Chestnut-backed Chickadee,SJC_09,3.894821321281783e-4,1.8739416589949075e-4,8.762414939620555e-4,2.3989418995685043,0.0012870982380947971,81,198,1
Chestnut-backed Chickadee,AC_05,1.4078345290014733e-4,4.069034355925989e-7,0.05485786268023863,0.86712918531766,0,164,215,0.6
Chestnut-backed Chickadee,EW_09,1.1321380770617777e-4,5.501668809219622e-7,0.020111205936571196,0.6973191438385684,0,160,170,0.3333333333333333
Chestnut-backed Chickadee,AC_12,1.1125252402642184e-4,5.907570977129028e-7,0.013897101938263512,0.6852389860901302,0,105,127,0
Chestnut-backed Chickadee,PC_01,8.347678023859736e-5,6.889895704675994e-7,0.007784388692568096,0.5141595191061017,0,112,215,1
Chestnut-backed Chickadee,SJC_05,6.55193221195366e-5,9.040143570154935e-6,4.4809425396153204e-4,0.4035539350805315,1.330650446333426e-4,81,203,1
Chestnut-backed Chickadee,SJC_01,6.004138930928844e-5,1.437023696594178e-5,2.5602254922095594e-4,0.3698136387806217,2.3998752064892625e-4,81,168,0.5333333333333333
Chestnut-backed Chickadee,WC_02,4.2361148245084485e-5,6.670858618085433e-6,2.74158310157854e-4,0.26091552103736115,1.007174439255631e-4,112,215,1
Chestnut-backed Chickadee,EW_03,4.161404307522409e-5,6.8160977660727445e-6,2.5293326160037255e-4,0.25631386733486855,9.976256509507373e-5,111,215,1
Chestnut-backed Chickadee,WC_01,1.862588827487126e-5,6.712227346200336e-7,4.4437836365446705e-4,0.11472265378419319,0,112,183,1
Chestnut-backed Chickadee,SJC_03,1.2938479643326017e-5,5.075977874263287e-7,3.227242957374929e-4,0.07969213058244771,0,81,215,1
Chestnut-backed Chickadee,PC_02,1.1511352409412909e-5,5.413044169743353e-7,3.4178562849444507e-4,0.07090200894389523,0,112,215,1
Purple Finch,EW_01,0.014844915784338473,0.009448623207889513,0.0242493903575057,32.19317570683287,0.0264072534945221,111,203,1
Purple Finch,EW_08,0.006721172212411884,0.004125288687198031,0.010870073926832641,14.575756517146226,0.012398078297863832,111,215,1
Purple Finch,EW_03,0.002567474597708061,0.0014890222277844976,0.004448146922833037,5.567910390845573,0.003790977473612802,111,215,1
Purple Finch,PC_02,7.423314700376267e-4,3.693889089754772e-4,0.0016272958255437386,1.6098445956052831,0.0011080983521234355,112,215,1
Purple Finch,AC_05,4.4799455307757935e-4,1.0085295012591136e-5,0.02387071593590619,0.9715358155245521,0,164,215,0.6
Purple Finch,EW_09,4.428640596996164e-4,8.859471627357515e-6,0.016504519797918196,0.9604096577760686,0,160,170,0.3333333333333333
Purple Finch,AC_12,4.1953163042105336e-4,9.076378564185361e-6,0.018145116493884065,0.9098101793859994,0,105,127,0
Purple Finch,PC_01,3.908663731402748e-4,1.1299729382112447e-5,0.013044884184789192,0.8476457536844225,0,112,215,1
Purple Finch,SJC_03,3.194084757654084e-4,9.819064385924044e-5,0.0011089943765910997,0.692679792324311,4.095053005342338e-4,81,215,1
Purple Finch,SJC_09,3.04390342937761e-4,1.1425015668460642e-4,8.809167954329023e-4,0.660110972404222,6.435491190473986e-4,81,198,1
Purple Finch,AC_10,2.448277193657479e-4,9.00463767898426e-5,7.419659607863784e-4,0.5309414955226653,4.998521270790725e-4,105,189,1
Purple Finch,WC_02,2.0644544725347336e-4,6.193643588765226e-5,6.385912047092771e-4,0.447704429843819,3.0215233177668927e-4,112,215,1
Purple Finch,WC_01,1.9886682920231666e-4,3.7537200413743486e-5,0.0011530335139164755,0.43126918790103447,2.1702016840765068e-4,112,183,1
Purple Finch,SJC_01,1.387935086499021e-4,4.0419010198892295e-5,4.3538439922565674e-4,0.3009921966447343,3.599812809733894e-4,81,168,0.5333333333333333
Purple Finch,AC_02,8.69770503401818e-5,1.8434295840235606e-5,4.3637762681375406e-4,0.18862131013350833,1.0923490055072596e-4,105,215,1
Purple Finch,SJC_05,5.725063804688725e-5,4.750090451814254e-6,6.777000310850295e-4,0.1241556285496883,0,81,203,1
Warbling Vireo,SJC_09,0.008503390728714408,0.0033949694704638912,0.02328544525236206,30.085474900209807,0.016410502535708662,81,198,1
Warbling Vireo,SJC_01,0.008030435616108854,0.0035991121042775734,0.018542702831927327,28.412133097724915,0.013319307396015407,81,168,0.5333333333333333
Warbling Vireo,PC_02,0.0015775297609182028,6.036702319509099e-4,0.004073144384701137,5.581389064737704,0.002719877773393887,112,215,1
Warbling Vireo,SJC_03,9.311649363308274e-4,3.052832461002929e-4,0.002939994012623731,3.294513943165819,0.0013308922267362597,81,215,1
Warbling Vireo,SJC_05,6.69978584304304e-4,1.677887423948548e-4,0.0025743818519670426,2.3704219322416855,0.0014637154909667685,81,203,1
Warbling Vireo,WC_02,6.469886782855216e-4,2.1913267489668457e-4,0.0019053774466767644,2.2890823510613636,0.0011078918831811941,112,215,1
Warbling Vireo,AC_12,2.3521972144678832e-4,2.8424315256648565e-6,0.01965262332741674,0.8322206107411918,0,105,127,0
Warbling Vireo,EW_01,1.730255076049616e-4,3.580958108167366e-5,7.577267233273231e-4,0.612173982381748,3.400075557234605e-4,111,203,1
Warbling Vireo,AC_05,1.592884113069555e-4,2.524792638670861e-6,0.008253967324924229,0.5635713626667875,0,164,215,0.6
Warbling Vireo,PC_01,1.4148820584478143e-4,3.5854877380462133e-6,0.006230097123508489,0.5005932340900968,0,112,215,1
Warbling Vireo,AC_10,1.3876492168983604e-4,3.269814119731001e-5,6.576076244762718e-4,0.4909581015055054,2.4992606353953624e-4,105,189,1
Warbling Vireo,EW_09,1.3579726239776836e-4,3.021526483171792e-6,0.005701288324696037,0.4804583559343202,0,160,170,0.3333333333333333
Warbling Vireo,EW_03,8.790588983729566e-5,1.2322981131241906e-5,5.839140339953282e-4,0.31101598487647136,9.976256509507373e-5,111,215,1
Warbling Vireo,WC_01,3.650041733838948e-5,1.8718043540310801e-6,7.041172063050874e-4,0.1291405304913375,0,112,183,1
Warbling Vireo,EW_08,2.7882404311540344e-5,1.4794826162434445e-6,4.8765353646610906e-4,0.09864951545031164,0,111,215,1
Warbling Vireo,AC_02,2.4669831845573537e-5,1.6961041366304893e-6,4.462530701983054e-4,0.0872832532881398,0,105,215,1
Wilson's Warbler,AC_02,0.08623242967855177,0.05084420725620264,0.1422177631935574,33.41396517254449,0.08006918210368212,105,215,1
Wilson's Warbler,SJC_05,0.015023593225385927,0.007414275656936451,0.029558605099741894,5.8214504992010045,0.020225886784268073,81,203,1
Wilson's Warbler,SJC_03,0.0078102377239064194,0.003936312687815354,0.015507994932949088,3.026367368619007,0.008190106010684676,81,215,1
Wilson's Warbler,WC_02,0.0043154463396248375,0.0024186515685865194,0.007851898724041172,1.672180341360302,0.00553945941590597,112,215,1
Wilson's Warbler,SJC_01,0.003324508464475743,0.0018896250412931968,0.005866855880408394,1.2882045706228262,0.005879694255898693,81,168,0.5333333333333333
Wilson's Warbler,PC_02,0.0025162837042324846,0.0012881741804204405,0.004848330818006738,0.9750277983687395,0.0029213502010526937,112,215,1
Wilson's Warbler,SJC_09,0.002124577515147731,0.0010480634444508922,0.004294418393193987,0.8232466528213176,0.0030032292222211933,81,198,1
Wilson's Warbler,EW_08,0.002004181280052638,0.001064482051140477,0.004082761199000865,0.776594649377032,0.002199659052846809,111,215,1
Wilson's Warbler,AC_12,0.00186574608002017,1.2759284855723925e-4,0.022979079585995668,0.7229527774063338,0,105,127,0
Wilson's Warbler,AC_05,0.0017204947372355148,1.2648802579301512e-4,0.0289769388485311,0.6666697371723537,0,164,215,0.6
Wilson's Warbler,EW_09,0.0013725804105144553,1.1131704071878084e-4,0.015013980419806242,0.5318573789978022,0,160,170,0.3333333333333333
Wilson's Warbler,EW_01,0.0013630954480945289,6.54341598900734e-4,0.0029140130628044787,0.5281820771984242,0.001473366074801662,111,203,1
Wilson's Warbler,PC_01,0.001343096207129303,1.279115419197731e-4,0.015767578826911228,0.5204326267471215,0,112,215,1
Wilson's Warbler,WC_01,0.0013257453407254302,5.570514682562795e-4,0.003299657245479533,0.5137093876143074,0.001953181515668856,112,183,1
Wilson's Warbler,AC_10,6.310037349549468e-4,2.632409143446327e-4,0.0014898714810876693,0.2445058883546025,9.99704254158145e-4,105,189,1
Wilson's Warbler,EW_03,3.6887698677760534e-4,1.1777992166996008e-4,0.0011064291685472045,0.1429351212193174,2.992876952852212e-4,111,215,1
Yellow Warbler,AC_02,0.023923396950619225,0.014260280884404335,0.04208902629559949,9.820278655303891,0.03626598698284102,105,215,1
Yellow Warbler,SJC_03,0.012636333996298932,0.006635003722700825,0.023234680128674644,5.187069431706828,0.016073083045968675,81,215,1
Yellow Warbler,EW_08,0.005684902982545783,0.0032430839026654497,0.010304970217130024,2.333587137821695,0.007198884172953193,111,215,1
Yellow Warbler,SJC_09,0.005296609323803706,0.002568332356666219,0.010012863255567163,2.1741970672223783,0.007722589428568782,81,198,1
Yellow Warbler,AC_10,0.00410567194149658,0.002258211708400478,0.007392557664239344,1.6853310011108331,0.0067480037155674775,105,189,1
Yellow Warbler,WC_02,0.0027741100454023,0.0014911883112210579,0.005281807385524476,1.1387401932325993,0.0036258279813202714,112,215,1
Yellow Warbler,SJC_01,0.002456185750926514,0.0012232612354486094,0.004607957564917522,1.008235935434783,0.004319775371680673,81,168,0.5333333333333333
Yellow Warbler,EW_01,0.002396810014528213,0.0012602766605443922,0.004454433630587432,0.9838628801367101,0.002946732149603324,111,203,1
Yellow Warbler,AC_05,0.00236091620206516,1.7781432992763135e-4,0.030075423595625303,0.9691288839105062,0,164,215,0.6
Yellow Warbler,WC_01,0.0020977733546408096,9.566087849593854e-4,0.004793540099890985,0.8611117785976109,0.004123383199745363,112,183,1
Yellow Warbler,AC_12,0.0016643113763294601,1.5662690615617133e-4,0.020349119908322156,0.6831806335230581,0,105,127,0
Yellow Warbler,PC_01,0.0013168938239225716,1.3685148053080667e-4,0.012657981651280766,0.5405697333477392,0,112,215,1
Yellow Warbler,EW_09,0.0012954173672265023,1.6397802415635143e-4,0.012220961529668178,0.5317538954581911,0,160,170,0.3333333333333333
Yellow Warbler,PC_02,0.0012791318623348162,6.22833715446545e-4,0.0027344232877131247,0.5250688834421808,0.0014103069936116453,112,215,1
Yellow Warbler,SJC_05,5.220864955329905e-4,1.5616584887047022e-4,0.0018829236851937144,0.2143104877157644,2.661300892666852e-4,81,203,1
Yellow Warbler,EW_03,2.6848801300229336e-4,8.913055163032875e-5,8.908965890251345e-4,0.11021123416267728,1.9952513019014747e-4,111,215,1
