nativity,family,genus,species,species_author,infraspecific_rank,infraspecific_epithet,infraspecific_author,name_minus_authors,name_plus_authors,synonyms,common,TJM1/TJM2,major_clade,endemicity,
NATIVE,Brassicaceae,Cardamine,occidentalis,(S. Watson) Howell,,,,Cardamine occidentalis,Cardamine occidentalis (S. Watson) Howell,,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Cardamine,oligosperma,Nutt.,,,,Cardamine oligosperma,Cardamine oligosperma Nutt.,,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Cardamine,pachystigma,(S. Watson) Rollins,,,,Cardamine pachystigma,Cardamine pachystigma (S. Watson) Rollins,"Dentaria corymbosa Jeps., illeg.; Dentaria corymbosa var. grata Jeps., illeg.; Dentaria pachystigma (S. Watson) S. Watson",NULL,TJM1,EUDICOTS,1,
NATIVE,Brassicaceae,Cardamine,pensylvanica,Muhl. ex Willd.,,,,Cardamine pensylvanica,Cardamine pensylvanica Muhl. ex Willd.,,NULL,TJM1,EUDICOTS,,
WAIF,Brassicaceae,Carrichtera,annua,(L.) DC.,,,,Carrichtera annua,Carrichtera annua (L.) DC.,,NULL,TJM2,EUDICOTS,,
NATIVE,Brassicaceae,Caulanthus,amplexicaulis,S. Watson,,,,Caulanthus amplexicaulis,Caulanthus amplexicaulis S. Watson,Caulanthus amplexicaulis var. amplexicaulis; Caulanthus amplexicaulis var. barbarae (J.T. Howell) Munz Listed in CNPS Inventory,NULL,TJM1,EUDICOTS,1,
NATIVE,Brassicaceae,Caulanthus,anceps,Payson,,,,Caulanthus anceps,Caulanthus anceps Payson,"Guillenia lemmonii (Greene) R.E. Buck, ined.; Streptanthus anceps (Payson) Hoover; Thelypodium lemmonii Greene",NULL,TJM2,EUDICOTS,1,
NATIVE,Brassicaceae,Caulanthus,californicus,(S. Watson) Payson,,,,Caulanthus californicus,Caulanthus californicus (S. Watson) Payson,Stanfordia californica S. Watson,CALIFORNIA JEWELFLOWER,TJM1,EUDICOTS,1,
NATIVE,Brassicaceae,Caulanthus,cooperi,(S. Watson) Payson,,,,Caulanthus cooperi,Caulanthus cooperi (S. Watson) Payson,Thelypodium cooperi S. Watson; Guillenia cooperi (S. Watson) Greene,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Caulanthus,coulteri,S. Watson,,,,Caulanthus coulteri,Caulanthus coulteri S. Watson,,NULL,TJM1,EUDICOTS,1,
NATIVE,Brassicaceae,Caulanthus,crassicaulis,(Torr.) S. Watson,,,,Caulanthus crassicaulis,Caulanthus crassicaulis (Torr.) S. Watson,Caulanthus crassicaulis var. crassicaulis; Caulanthus crassicaulis var. glaber M.E. Jones; Caulanthus glaber (M.E. Jones) Rydb.,THICK-STEM WILD CABBAGE,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Caulanthus,flavescens,(Hook.) Payson,,,,Caulanthus flavescens,Caulanthus flavescens (Hook.) Payson,Guillenia flavescens (Hook.) Greene; Streptanthus flavescens Hook.; Thelypodium flavescens (Hook.) S. Watson,NULL,TJM2,EUDICOTS,1,
NATIVE,Brassicaceae,Caulanthus,glaucus,S. Watson,,,,Caulanthus glaucus,Caulanthus glaucus S. Watson,Streptanthus glaucus (S. Watson) Jeps.,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Caulanthus,hallii,Payson,,,,Caulanthus hallii,Caulanthus hallii Payson,Streptanthus hallii (Payson) Jeps.,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Caulanthus,heterophyllus,(Nutt.) Payson,,,,Caulanthus heterophyllus,Caulanthus heterophyllus (Nutt.) Payson,"Caulanthus heterophyllus var. pseudosimulans R.E. Buck, ined.; Streptanthus heterophyllus Nutt.; Caulanthus stenocarpus Payson; Guillenia heterophylla (Nutt.) O.E. Schulz",NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Caulanthus,inflatus,S. Watson,,,,Caulanthus inflatus,Caulanthus inflatus S. Watson,Streptanthus inflatus (S. Watson) Greene,DESERT CANDLE,TJM1,EUDICOTS,1,
NATIVE,Brassicaceae,Caulanthus,lasiophyllus,(Hook. & Arn.) Payson,,,,Caulanthus lasiophyllus,Caulanthus lasiophyllus (Hook. & Arn.) Payson,Guillenia lasiophylla (Hook. & Arn.) Greene; Caulanthus lasiophyllus var. inalienus (B.L. Rob.) Payson; Caulanthus lasiophyllus var. rigidus (Greene) Payson; Caulanthus lasiophyllus var. utahensis (Rydb.) Payson; Thelypodium lasiophyllum (Hook. & Arn.) Greene; Thelypodium lasiophyllum var. lasiophyllum; Thelypodium lasiophyllum var. utahense (Rydb.) Jeps.; Thelypodium lasiophyllum var. inalienum B.L. Rob.; Thelypodium lasiophyllum var. rigidum (Greene) B.L. Rob.,CALIFORNIA MUSTARD,TJM2,EUDICOTS,,
NATIVE,Brassicaceae,Caulanthus,lemmonii,S. Watson,,,,Caulanthus lemmonii,Caulanthus lemmonii S. Watson,"Caulanthus coulteri S. Watson var. lemmonii (S. Watson) Munz; Streptanthus coulteri (S. Watson) A. Gray ex Greene var. lemmonii (S. Watson) Jeps.; Streptanthus lemmonii Jepson 1920, non S. Watson 1890",LEMMONS JEWELFLOWER,TJM2,EUDICOTS,1,
NATIVE,Brassicaceae,Caulanthus,major,(M.E. Jones) Payson,,,,Caulanthus major,Caulanthus major (M.E. Jones) Payson,Streptanthus major (M.E. Jones) Jeps.; Caulanthus major var. major; Caulanthus major var. nevadensis Rollins Listed in CNPS Inventory,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Caulanthus,pilosus,S. Watson,,,,Caulanthus pilosus,Caulanthus pilosus S. Watson,Streptanthus pilosus (S. Watson) Jeps.,CHOCOLATE DROPS,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Caulanthus,simulans,Payson,,,,Caulanthus simulans,Caulanthus simulans Payson,Streptanthus simulans (Payson) Jeps.,PAYSONS JEWELFLOWER,TJM1,EUDICOTS,1,
NATURALIZED,Brassicaceae,Chorispora,tenella,(Pall.) DC.,,,,Chorispora tenella,Chorispora tenella (Pall.) DC.,,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Cochlearia,groenlandica,L.,,,,Cochlearia groenlandica,Cochlearia groenlandica L.,Cochlearia officinalis L. var. arctica (Schltdl. ex DC.) Gelert'; 'Cochlearia officinalis L. subsp. arctica (Schltdl. ex DC.) Hultén,GREENLAND COCHLEARIA,TJM2,EUDICOTS,,
NATURALIZED,Brassicaceae,Coincya,monensis,,subsp.,(All.) Leadlay,(All.) Leadlay,Coincya monensis subsp. recurvata,Coincya monensis (L.) Greuter & Burdet subsp. recurvata (All.) Leadlay,,STAR MUSTARD,TJM2,EUDICOTS,,
NATURALIZED,Brassicaceae,Conringia,orientalis,(L.) Dumort.,,,,Conringia orientalis,Conringia orientalis (L.) Dumort.,,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Cusickiella,douglasii,(A. Gray) Rollins,,,,Cusickiella douglasii,Cusickiella douglasii (A. Gray) Rollins,Draba douglasii A. Gray var. crockeri (Lemmon) C.L. Hitchc.,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Cusickiella,quadricostata,(Rollins) Rollins,,,,Cusickiella quadricostata,Cusickiella quadricostata (Rollins) Rollins,Draba quadricostata Rollins,BODIE HILLS CUSICKIELLA,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Descurainia,adenophora,(Wooton & Standl.) O.E. Schulz,,,,Descurainia adenophora,Descurainia adenophora (Wooton & Standl.) O.E. Schulz,Descurainia obtusa (Greene) O.E. Schulz subsp. adenophora (Wooton & Standl.) Detling,NULL,TJM2,EUDICOTS,,
NATIVE,Brassicaceae,Descurainia,californica,(A. Gray) O.E. Schulz,,,,Descurainia californica,Descurainia californica (A. Gray) O.E. Schulz,,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Descurainia,incana,(Bernh. ex Fisch. & C.A. Mey.) Dorn,,,,Descurainia incana,Descurainia incana (Bernh. ex Fisch. & C.A. Mey.) Dorn,"Descurainia richardsonii (Sweet) O.E. Schulz, illeg.; Descurainia richardsonii subsp. viscosa (Rydb.) Detling",NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Descurainia,incisa,(Engelm.) Britton,subsp.,,,Descurainia incisa subsp. incisa,Descurainia incisa (Engelm.) Britton subsp. incisa,Descurainia richardsonii subsp. incisa (Engelm.) Detling,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Descurainia,longipedicellata,(E. Fourn.) O.E. Schulz,,,,Descurainia longipedicellata,Descurainia longipedicellata (E. Fourn.) O.E. Schulz,Descurainia incisa (Engelm.) Britton subsp. filipes (A. Gray) Rollins; Descurainia pinnata (Walter) Britton subsp. filipes (A. Gray) Detling,NULL,TJM2,EUDICOTS,,
NATIVE,Brassicaceae,Descurainia,nelsonii,(Rydb.) Al-Shehbaz & Goodson,,,,Descurainia nelsonii,Descurainia nelsonii (Rydb.) Al-Shehbaz & Goodson,Sophia nelsonii Rydb.,NULL,TJM2,EUDICOTS,,
NATIVE,Brassicaceae,Descurainia,paradisa,(A. Nelson & P.B. Kenn.) O.E. Schulz,,,,Descurainia paradisa,Descurainia paradisa (A. Nelson & P.B. Kenn.) O.E. Schulz,Descurainia paradisa subsp. nevadensis Rollins; Descurainia pinnata subsp. paradisa (A. Nelson & P.B. Kenn.) Detling,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Descurainia,pinnata,,subsp.,(Richardson) Detling,(Richardson) Detling,Descurainia pinnata subsp. brachycarpa,Descurainia pinnata (Walter) Britton subsp. brachycarpa (Richardson) Detling,,NULL,TJM2,EUDICOTS,,
NATIVE,Brassicaceae,Descurainia,pinnata,,subsp.,(Wooton & Standl.) Detling,(Wooton & Standl.) Detling,Descurainia pinnata subsp. glabra,Descurainia pinnata (Walter) Britton subsp. glabra (Wooton & Standl.) Detling,,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Descurainia,pinnata,,subsp.,(Wooton) Detling,(Wooton) Detling,Descurainia pinnata subsp. ochroleuca,Descurainia pinnata (Walter) Britton subsp. ochroleuca (Wooton) Detling,,NULL,TJM2,EUDICOTS,,
NATURALIZED,Brassicaceae,Descurainia,sophia,(L.) Webb ex Prantl,,,,Descurainia sophia,Descurainia sophia (L.) Webb ex Prantl,,NULL,TJM1,EUDICOTS,,
NATURALIZED,Brassicaceae,Diplotaxis,muralis,(L.) DC.,,,,Diplotaxis muralis,Diplotaxis muralis (L.) DC.,,NULL,TJM1,EUDICOTS,,
NATURALIZED,Brassicaceae,Diplotaxis,tenuifolia,(L.) DC.,,,,Diplotaxis tenuifolia,Diplotaxis tenuifolia (L.) DC.,,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Dithyrea,californica,Harv.,,,,Dithyrea californica,Dithyrea californica Harv.,,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Dithyrea,maritima,(Davidson) Davidson,,,,Dithyrea maritima,Dithyrea maritima (Davidson) Davidson,,BEACH SPECTACLEPOD,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Draba,albertina,Greene,,,,Draba albertina,Draba albertina Greene,Draba crassifolia Graham var. albertina (Greene) O.E. Schulz; Draba crassifolia Graham var. nevadensis C.L. Hitchc.; Draba stenoloba Ledeb. var. nana (O.E. Schulz) C.L. Hitchc.; Draba stenoloba Ledeb. var. ramosa C.L. Hitchc.,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Draba,asterophora,Payson,,,,Draba asterophora,Draba asterophora Payson,Draba asterophora var. asterophora; Draba asterophora var. macrocarpa C.L. Hitchc. Listed in CNPS Inventory,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Draba,aureola,S. Watson,,,,Draba aureola,Draba aureola S. Watson,,GOLDEN ALPINE DRABA,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Draba,breweri,S. Watson,,,,Draba breweri,Draba breweri S. Watson,Draba breweri var. sublaxa Jeps.,NULL,TJM1,EUDICOTS,1,
NATIVE,Brassicaceae,Draba,californica,(Jeps.) Rollins & R.A. Price,,,,Draba californica,Draba californica (Jeps.) Rollins & R.A. Price,Draba cuneifolia Nutt. ex Torr. & A. Gray var. californica Jeps.,CALIFORNIA DRABA,TJM1,EUDICOTS,1,
NATIVE,Brassicaceae,Draba,cana,Rydb.,,,,Draba cana,Draba cana Rydb.,Draba breweri S. Watson var. cana (Rydb.) Rollins,CANESCENT DRABA,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Draba,carnosula,O.E. Schulz,,,,Draba carnosula,Draba carnosula O.E. Schulz,Draba howellii S. Watson var. carnosula (O.E. Schulz) C.L. Hitchc.,MOUNT EDDY DRABA,TJM1,EUDICOTS,1,
NATIVE,Brassicaceae,Draba,corrugata,S. Watson,,,,Draba corrugata,Draba corrugata S. Watson,Draba corrugata f. vestita (Davidson) C.L. Hitchc.; Draba vestita Davidson,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Draba,cruciata,Payson,,,,Draba cruciata,Draba cruciata Payson,,MINERAL KING DRABA,TJM1,EUDICOTS,1,
NATIVE,Brassicaceae,Draba,cuneifolia,Nutt. ex Torr. & A. Gray,,,,Draba cuneifolia,Draba cuneifolia Nutt. ex Torr. & A. Gray,Draba cuneifolia var. cuneifolia; Draba cuneifolia var. integrifolia S. Watson; Draba cuneifolia var. sonorae (Greene) Parish,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Draba,densifolia,Nutt.,,,,Draba densifolia,Draba densifolia Nutt.,Draba oligosperma Hook. var. pectinata (S. Watson) Jeps.,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Draba,howellii,S. Watson,,,,Draba howellii,Draba howellii S. Watson,,HOWELLS DRABA,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Draba,incrassata,(Rollins) Rollins & R.A. Price,,,,Draba incrassata,Draba incrassata (Rollins) Rollins & R.A. Price,Draba lemmonii S. Watson var. incrassata Rollins,SWEETWATER MOUNTAINS DRABA,TJM1,EUDICOTS,1,
NATIVE,Brassicaceae,Draba,lemmonii,S. Watson,,,,Draba lemmonii,Draba lemmonii S. Watson,Draba lemmonii var. lemmonii,NULL,TJM2,EUDICOTS,1,
NATIVE,Brassicaceae,Draba,lonchocarpa,Rydb.,,,,Draba lonchocarpa,Draba lonchocarpa Rydb.,Draba lonchocarpa var. lonchocarpa; Draba nivalis Lilj. var. elongata S. Watson,SPEAR-FRUITED DRABA,TJM2,EUDICOTS,,
NATIVE,Brassicaceae,Draba,longisquamosa,O.E. Schulz,,,,Draba longisquamosa,Draba longisquamosa O.E. Schulz,"Draba lemmonii S. Watson, misappl., in part",NULL,TJM2,EUDICOTS,1,
NATIVE,Brassicaceae,Draba,monoensis,Rollins & R.A. Price,,,,Draba monoensis,Draba monoensis Rollins & R.A. Price,,WHITE MOUNTAINS DRABA,TJM1,EUDICOTS,1,
WAIF,Brassicaceae,Draba,nemorosa,L.,,,,Draba nemorosa,Draba nemorosa L.,,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Draba,novolympica,Payson & H. St. John,,,,Draba novolympica,Draba novolympica Payson & H. St. John,Draba paysonii J.F. Macbr. var. treleasei (O.E. Schulz) C.L. Hitchc.,NULL,TJM2,EUDICOTS,,
NATIVE,Brassicaceae,Draba,oligosperma,Hook.,,,,Draba oligosperma,Draba oligosperma Hook.,,NULL,TJM2,EUDICOTS,,
NATIVE,Brassicaceae,Draba,praealta,Greene,,,,Draba praealta,Draba praealta Greene,,TALL DRABA,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Draba,pterosperma,Payson,,,,Draba pterosperma,Draba pterosperma Payson,,WINGED-SEED DRABA,TJM1,EUDICOTS,1,
WAIF,Brassicaceae,Draba,reptans,(Lam.) Fernald,,,,Draba reptans,Draba reptans (Lam.) Fernald,Draba micrantha Nutt.,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Draba,saxosa,Davidson,,,,Draba saxosa,Draba saxosa Davidson,Draba corrugata S. Watson var. saxosa (Davidson) Munz & I.M. Johnst.,SOUTHERN CALIFORNIA ROCK DRABA,TJM2,EUDICOTS,1,
NATIVE,Brassicaceae,Draba,sharsmithii,Rollins & R.A. Price,,,,Draba sharsmithii,Draba sharsmithii Rollins & R.A. Price,Draba cruciata Payson var. integrifolia C.L. Hitchc. & Sharsm.,MOUNT WHITNEY DRABA,TJM1,EUDICOTS,1,
NATIVE,Brassicaceae,Draba,sierrae,Sharsm.,,,,Draba sierrae,Draba sierrae Sharsm.,,SIERRA DRABA,TJM1,EUDICOTS,1,
NATIVE,Brassicaceae,Draba,subumbellata,Rollins & R.A. Price,,,,Draba subumbellata,Draba subumbellata Rollins & R.A. Price,,MOUND DRABA,TJM1,EUDICOTS,1,
NATURALIZED,Brassicaceae,Draba,verna,L.,,,,Draba verna,Draba verna L.,Draba verna var. verna,NULL,TJM1,EUDICOTS,,
NATURALIZED,Brassicaceae,Eruca,vesicaria,,subsp.,(Mill.) Thell.,(Mill.) Thell.,Eruca vesicaria subsp. sativa,Eruca vesicaria (L.) Cav. subsp. sativa (Mill.) Thell.,Eruca sativa Mill.,NULL,TJM1,EUDICOTS,,
WAIF,Brassicaceae,Erucastrum,gallicum,(Willd.) O.E. Schulz,,,,Erucastrum gallicum,Erucastrum gallicum (Willd.) O.E. Schulz,,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Erysimum,ammophilum,A. Heller,,,,Erysimum ammophilum,Erysimum ammophilum A. Heller,,SAND-LOVING WALLFLOWER,TJM1,EUDICOTS,1,
NATIVE,Brassicaceae,Erysimum,capitatum,(Douglas ex Hook.) Greene,var.,,,Erysimum capitatum var. capitatum,Erysimum capitatum (Douglas ex Hook.) Greene var. capitatum,"Erysimum capitatum var. angustatum (Greene) Rossbach Listed in CNPS Inventory; Erysimum capitatum var. lompocense (Rossbach) Kartesz Listed in CNPS Inventory; Erysimum capitatum subsp. angustatum, ined.; Erysimum capitatum subsp. capitatum, ined.; Erysimum capitatum subsp. lompocense, ined.; Erysimum asperum (Nutt.) DC. var. bealianum Jeps.; Erysimum asperum var. stellatum J.T. Howell; Erysimum capitatum var. bealianum (Jeps.) Rossbach; Erysimum insulare Greene var. angustatum (Greene) Jeps.; Erysimum moniliforme Eastw.; Erysimum suffrutescens (Abrams) Rossbach var. lompocense Rossbach",NULL,TJM2,EUDICOTS,,
NATIVE,Brassicaceae,Erysimum,capitatum,,var.,(Durand) Rollins,(Durand) Rollins,Erysimum capitatum var. purshii,Erysimum capitatum (Douglas ex Hook.) Greene var. purshii (Durand) Rollins,Erysimum asperum var. purshii Durand; Erysimum amoenum (Greene) Rydb.; Erysimum argillosum (Greene) Rydb.,NULL,TJM2,EUDICOTS,,
NATURALIZED,Brassicaceae,Erysimum,cheiranthoides,L.,,,,Erysimum cheiranthoides,Erysimum cheiranthoides L.,,WORMSEED MUSTARD,TJM1,EUDICOTS,,
NATURALIZED,Brassicaceae,Erysimum,cheiri,(L.) Crantz,,,,Erysimum cheiri,Erysimum cheiri (L.) Crantz,,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Erysimum,concinnum,Eastw.,,,,Erysimum concinnum,Erysimum concinnum Eastw.,"Erysimum menziesii subsp. concinnum, ined.",NULL,TJM2,EUDICOTS,,
NATIVE,Brassicaceae,Erysimum,franciscanum,Rossbach,,,,Erysimum franciscanum,Erysimum franciscanum Rossbach,Erysimum franciscanum var. crassifolium Rossbach; Erysimum franciscanum var. franciscanum,SAN FRANCISCO WALLFLOWER,TJM1,EUDICOTS,1,
NATIVE,Brassicaceae,Erysimum,insulare,Greene,,,,Erysimum insulare,Erysimum insulare Greene,,ISLAND WALLFLOWER,TJM1,EUDICOTS,1,
NATIVE,Brassicaceae,Erysimum,menziesii,(Hook.) Wettst.,,,,Erysimum menziesii,Erysimum menziesii (Hook.) Wettst.,"Erysimum menziesii subsp. eurekense, ined.; Erysimum menziesii subsp. yadonii, ined.",MENZIES WALLFLOWER,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Erysimum,perenne,(S. Watson ex Coville) Abrams,,,,Erysimum perenne,Erysimum perenne (S. Watson ex Coville) Abrams,"Erysimum capitatum var. perenne (S. Watson ex Coville) R.J. Davis; Erysimum capitatum subsp. perenne, ined.",NULL,TJM2,EUDICOTS,,
NATURALIZED,Brassicaceae,Erysimum,repandum,L.,,,,Erysimum repandum,Erysimum repandum L.,,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Erysimum,suffrutescens,(Abrams) Rossbach,,,,Erysimum suffrutescens,Erysimum suffrutescens (Abrams) Rossbach,"Erysimum insulare Greene subsp. suffrutescens, ined.; Erysimum concinnum Eastw. subsp. suffrutescens (Abrams) Abrams; Erysimum suffrutescens var. grandifolium Rossbach",SUFFRUTESCENT WALLFLOWER,TJM2,EUDICOTS,1,
NATIVE,Brassicaceae,Erysimum,teretifolium,Eastw.,,,,Erysimum teretifolium,Erysimum teretifolium Eastw.,,SANTA CRUZ WALLFLOWER,TJM1,EUDICOTS,1,
NATURALIZED,Brassicaceae,Euclidium,syriacum,(L.) W.T. Aiton,,,,Euclidium syriacum,Euclidium syriacum (L.) W.T. Aiton,,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Halimolobos,jaegeri,(Munz) Rollins,,,,Halimolobos jaegeri,Halimolobos jaegeri (Munz) Rollins,Halimolobos diffusa (A. Gray) O.E. Schulz var. jaegeri (Munz) Rollins,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Hesperidanthus,jaegeri,(Rollins) Al-Shehbaz,,,,Hesperidanthus jaegeri,Hesperidanthus jaegeri (Rollins) Al-Shehbaz,Caulostramina jaegeri (Rollins) Rollins; Thelypodium jaegeri Rollins,NULL,TJM2,EUDICOTS,1,
NATURALIZED,Brassicaceae,Hesperis,matronalis,L.,,,,Hesperis matronalis,Hesperis matronalis L.,,DAMES ROCKET,TJM1,EUDICOTS,,
NATURALIZED,Brassicaceae,Hirschfeldia,incana,(L.) Lagr.-Fossat,,,,Hirschfeldia incana,Hirschfeldia incana (L.) Lagr.-Fossat,Brassica geniculata (Desf.) Benth.,NULL,TJM1,EUDICOTS,,
NATURALIZED,Brassicaceae,Hornungia,procumbens,(L.) Hayek,,,,Hornungia procumbens,Hornungia procumbens (L.) Hayek,"Hutchinsia procumbens (L.) Desv., illeg.; Hymenolobus procumbens (L.) Nutt. ex Torr. & A. Gray",NULL,TJM2,EUDICOTS,,
WAIF,Brassicaceae,Iberis,umbellata,L.,,,,Iberis umbellata,Iberis umbellata L.,,GLOBE CANDYTUFT,TJM2,EUDICOTS,,
NATIVE,Brassicaceae,Idahoa,scapigera,(Hook.) A. Nelson & J.F. Macbr.,,,,Idahoa scapigera,Idahoa scapigera (Hook.) A. Nelson & J.F. Macbr.,,NULL,TJM1,EUDICOTS,,
NATURALIZED,Brassicaceae,Isatis,tinctoria,L.,,,,Isatis tinctoria,Isatis tinctoria L.,,WOAD,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Lepidium,acutidens,(A. Gray) Howell,,,,Lepidium acutidens,Lepidium acutidens (A. Gray) Howell,Lepidium dictyotum A. Gray var. acutidens A. Gray; Lepidium oxycarpum Torr. & A. Gray var. acutidens (A. Gray) Jeps.,NULL,TJM2,EUDICOTS,,
NATURALIZED,Brassicaceae,Lepidium,appelianum,Al-Shehbaz,,,,Lepidium appelianum,Lepidium appelianum Al-Shehbaz,Cardaria pubescens (C.A. Mey.) Jarm.; Cardaria pubescens var. elongata Rollins,WHITE-TOP,TJM2,EUDICOTS,,
NATURALIZED,Brassicaceae,Lepidium,campestre,(L.) W.T. Aiton,,,,Lepidium campestre,Lepidium campestre (L.) W.T. Aiton,,NULL,TJM1,EUDICOTS,,
NATURALIZED,Brassicaceae,Lepidium,chalepense,L.,,,,Lepidium chalepense,Lepidium chalepense L.,Cardaria chalepensis (L.) Hand.-Mazz.; Cardaria draba (L.) Desv. subsp. chalepensis (L.) O.E. Schulz,LENS-PODDED HOARY CRESS,TJM2,EUDICOTS,,
NATURALIZED,Brassicaceae,Lepidium,coronopus,(L.) Al-Shehbaz,,,,Lepidium coronopus,Lepidium coronopus (L.) Al-Shehbaz,Coronopus squamatus (Forssk.) Asch.; Lepidium squamatum Forssk.,SWINE CRESS,TJM2,EUDICOTS,,
NATIVE,Brassicaceae,Lepidium,densiflorum,Schrad.,,,,Lepidium densiflorum,Lepidium densiflorum Schrad.,Lepidium densiflorum var. elongatum (Rydb.) Thell.; Lepidium densiflorum var. macrocarpum G.A. Mulligan; Lepidium densiflorum var. pubicarpum (A. Nelson) Thell.; Lepidium densiflorum var. ramosum (A. Nelson) Thell.,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Lepidium,dictyotum,A. Gray,,,,Lepidium dictyotum,Lepidium dictyotum A. Gray,,NULL,TJM1,EUDICOTS,,
NATURALIZED,Brassicaceae,Lepidium,didymum,L.,,,,Lepidium didymum,Lepidium didymum L.,Coronopus didymus (L.) Sm.,LESSER SWINE CRESS,TJM2,EUDICOTS,,
NATURALIZED,Brassicaceae,Lepidium,draba,L.,,,,Lepidium draba,Lepidium draba L.,Cardaria draba (L.) Desv.,HEART-PODDED HOARY CRESS,TJM2,EUDICOTS,,
NATIVE,Brassicaceae,Lepidium,flavum,Torr.,,,,Lepidium flavum,Lepidium flavum Torr.,Lepidium flavum var. felipense C.L. Hitchc. Listed in CNPS Inventory,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Lepidium,fremontii,S. Watson,,,,Lepidium fremontii,Lepidium fremontii S. Watson,Lepidium fremontii var. fremontii; Lepidium fremontii var. stipitatum Rollins,NULL,TJM1,EUDICOTS,,
NATURALIZED,Brassicaceae,Lepidium,heterophyllum,Benth.,,,,Lepidium heterophyllum,Lepidium heterophyllum Benth.,,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Lepidium,jaredii,Brandegee,,,,Lepidium jaredii,Lepidium jaredii Brandegee,Lepidium jaredii subsp. album Hoov. Listed in CNPS Inventory,JAREDS PEPPERGRASS,TJM1,EUDICOTS,1,
NATIVE,Brassicaceae,Lepidium,lasiocarpum,Nutt.,subsp.,,,Lepidium lasiocarpum subsp. lasiocarpum,Lepidium lasiocarpum Nutt. subsp. lasiocarpum,Lepidium lasiocarpum var. lasiocarpum,NULL,TJM2,EUDICOTS,,
NATURALIZED,Brassicaceae,Lepidium,latifolium,L.,,,,Lepidium latifolium,Lepidium latifolium L.,,PERENNIAL PEPPERWEED,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Lepidium,latipes,Hook.,,,,Lepidium latipes,Lepidium latipes Hook.,Lepidium latipes var. heckardii Rollins Listed in CNPS Inventory; Lepidium latipes var. latipes,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Lepidium,montanum,Nutt.,,,,Lepidium montanum,Lepidium montanum Nutt.,Lepidium montanum subsp. canescens (Thell.) C.L. Hitchc.; Lepidium montanum subsp. cinereum (C.L. Hitchc.) C.L. Hitchc.; Lepidium montanum var. canescens (Thell.) C.L. Hitchc.; Lepidium montanum var. cinereum (C.L. Hitchc.) Rollins,NULL,TJM1,EUDICOTS,,
NATIVE,Brassicaceae,Lepidium,nitidum,Nutt.,,,,Lepidium nitidum,Lepidium nitidum Nutt.,Lepidium nitidum var. howellii C.L. Hitchc.; Lepidium nitidum var. oreganum (Greene) C.L. Hitchc.,NULL,TJM1,EUDICOTS,,
